cell,arm,scene,steps,milestones,ms_frames,stuck_frac,path_len,max_spawn_dist,final_spawn_dist,yaw_sectors_of_12,pitch_extreme_steps,act_move,act_turn,act_turn_move,act_jump_move,act_attack,act_use,act_noop,act_esc,act_other,sprint_steps,jump_steps,attack_steps,attack_max_streak,use_steps,esc_presses,invalid_sprint_noop,esc_rejected,first_esc_rej,parsed_steps,yaw_turn_total_deg,per_ms,turns,steps_per_turn,entries_total,cmd_tail,cmd_grep,cmd_other_read
q35-default-vllm-0311,default,0311,300,1,"104,-1,-1,-1",0.214,52.4,8.7,4.5,10,6,207,31,27,32,3,0,0,0,0,259,38,3,3,0,0,0,0,,300,1155,"{""find_river"": {""type"": ""position_near_with_facing"", ""done_frame"": 104, ""min_dist"": 3.64, ""min_dist_step"": 189, ""facing_diff_at_min"": 60.7, ""steps_within_dist"": 95, ""first_within_dist"": 104, ""steps_within_dist_but_facing_bad"": 51, ""max_distance"": 5, ""facing_tol_half"": 30.0}, ""find_plains"": {""type"": ""position_inside_box"", ""done_frame"": null, ""min_dist"": 8.02, ""min_dist_step"": 81, ""facing_diff_at_min"": null, ""steps_within_dist"": 0, ""first_within_dist"": null, ""steps_within_dist_but_facing_bad"": 0, ""max_distance"": null, ""facing_tol_half"": 0.0}, ""hunt_rabbit"": {""type"": ""count_in_box_at_most"", ""done_frame"": null}, ""hunt_donkey"": {""type"": ""count_in_box_at_most"", ""done_frame"": null}}",,,,,,
q35-default-vllm-0482,default,0482,300,0,"-1,-1,-1,-1",0.368,30.1,6.9,6.9,10,0,140,25,8,0,125,0,2,0,0,108,0,125,37,0,0,0,0,,300,2765,"{""find_stone_brick_slab"": {""type"": ""position_near_with_facing"", ""done_frame"": null, ""min_dist"": 10.29, ""min_dist_step"": 45, ""facing_diff_at_min"": 94.3, ""steps_within_dist"": 0, ""first_within_dist"": null, ""steps_within_dist_but_facing_bad"": 0, ""max_distance"": 8, ""facing_tol_half"": 30.0}, ""mine_mossy_cobblestone"": {""type"": ""inventory_has"", ""done_frame"": null}, ""mine_pink_concrete"": {""type"": ""inventory_has"", ""done_frame"": null}, ""build_hidden_room"": {""type"": ""count_in_box_at_least"", ""done_frame"": null}}",,,,,,
q35-default-vllm-0603,default,0603,300,0,"-1,-1,-1,-1",0.334,26.2,4.3,3.8,8,0,143,70,13,11,57,0,0,0,6,159,19,57,40,0,0,0,0,,300,8760,"{""find_purple_bed"": {""type"": ""position_near_with_facing"", ""done_frame"": null, ""min_dist"": 4.92, ""min_dist_step"": 199, ""facing_diff_at_min"": 146.3, ""steps_within_dist"": 5, ""first_within_dist"": 199, ""steps_within_dist_but_facing_bad"": 5, ""max_distance"": 5, ""facing_tol_half"": 15.0}, ""mine_white_carpet"": {""type"": ""inventory_has"", ""done_frame"": null}, ""find_red_nether_brick_stairs"": {""type"": ""position_near_with_facing"", ""done_frame"": null, ""min_dist"": 5.21, ""min_dist_step"": 234, ""facing_diff_at_min"": 84.5, ""steps_within_dist"": 0, ""first_within_dist"": null, ""steps_within_dist_but_facing_bad"": 0, ""max_distance"": 5, ""facing_tol_half"": 22.5}, ""mine_quartz_block"": {""type"": ""inventory_has"", ""done_frame"": null}}",,,,,,
q35-default-vllm-0726,default,0726,300,3,"52,108,135,-1",0.268,28.6,19.1,18.5,7,17,168,17,66,38,0,2,2,4,3,241,87,0,0,2,4,0,4,117,300,925,"{""find_seagrass"": {""type"": ""position_near_with_facing"", ""done_frame"": 52, ""min_dist"": 0.53, ""min_dist_step"": 109, ""facing_diff_at_min"": 154.4, ""steps_within_dist"": 181, ""first_within_dist"": 10, ""steps_within_dist_but_facing_bad"": 131, ""max_distance"": 5, ""facing_tol_half"": 22.5}, ""swim_across_channel"": {""type"": ""position_inside_box"", ""done_frame"": 108, ""min_dist"": 0.0, ""min_dist_step"": 108, ""facing_diff_at_min"": null, ""steps_within_dist"": 129, ""first_within_dist"": 108, ""steps_within_dist_but_facing_bad"": 0, ""max_distance"": null, ""facing_tol_half"": 0.0}, ""find_diamond_block"": {""type"": ""position_near_with_facing"", ""done_frame"": 135, ""min_dist"": 3.96, ""min_dist_step"": 140, ""facing_diff_at_min"": 18.6, ""steps_within_dist"": 8, ""first_within_dist"": 135, ""steps_within_dist_but_facing_bad"": 0, ""max_distance"": 4, ""facing_tol_half"": 22.5}, ""find_soul_campfire"": {""type"": ""position_near_with_facing"", ""done_frame"": null, ""min_dist"": 6.2, ""min_dist_step"": 138, ""facing_diff_at_min"": 1.3, ""steps_within_dist"": 0, ""first_within_dist"": null, ""steps_within_dist_but_facing_bad"": 0, ""max_distance"": 5, ""facing_tol_half"": 22.5}}",,,,,,
q35-default-vllm-0763,default,0763,300,2,"1,165,-1,-1",0.207,43.2,9.5,2.1,9,53,133,19,65,16,1,24,1,40,1,206,23,1,1,24,40,2,40,180,300,5265,"{""find_soul_torch"": {""type"": ""position_near_with_facing"", ""done_frame"": 1, ""min_dist"": 0.19, ""min_dist_step"": 78, ""facing_diff_at_min"": 94.8, ""steps_within_dist"": 279, ""first_within_dist"": 1, ""steps_within_dist_but_facing_bad"": 224, ""max_distance"": 5, ""facing_tol_half"": 30.0}, ""find_brown_banner"": {""type"": ""position_near_with_facing"", ""done_frame"": 165, ""min_dist"": 2.27, ""min_dist_step"": 175, ""facing_diff_at_min"": 159.9, ""steps_within_dist"": 42, ""first_within_dist"": 165, ""steps_within_dist_but_facing_bad"": 32, ""max_distance"": 5, ""facing_tol_half"": 30.0}, ""mine_purple_concrete"": {""type"": ""inventory_has"", ""done_frame"": null}, ""build_animal_pen"": {""type"": ""count_in_box_at_least"", ""done_frame"": null}}",,,,,,
q35-hypothesis-vllm-0182,hypothesis,0182,300,0,"-1,-1,-1,-1",0.368,61.8,18.2,12.8,12,0,141,56,17,31,5,37,0,5,8,162,38,5,5,37,5,6,5,140,300,2955,"{""find_green_banner"": {""type"": ""position_near_with_facing"", ""done_frame"": null, ""min_dist"": 5.37, ""min_dist_step"": 37, ""facing_diff_at_min"": 106.0, ""steps_within_dist"": 0, ""first_within_dist"": null, ""steps_within_dist_but_facing_bad"": 0, ""max_distance"": 5, ""facing_tol_half"": 30.0}, ""find_dark_oak_button"": {""type"": ""position_near_with_facing"", ""done_frame"": null, ""min_dist"": 7.19, ""min_dist_step"": 61, ""facing_diff_at_min"": 90.3, ""steps_within_dist"": 0, ""first_within_dist"": null, ""steps_within_dist_but_facing_bad"": 0, ""max_distance"": 5, ""facing_tol_half"": 30.0}, ""mine_magma_block"": {""type"": ""inventory_has"", ""done_frame"": null}, ""bridge_lava_gap"": {""type"": ""position_inside_box"", ""done_frame"": null, ""min_dist"": 1.14, ""min_dist_step"": 158, ""facing_diff_at_min"": null, ""steps_within_dist"": 0, ""first_within_dist"": null, ""steps_within_dist_but_facing_bad"": 0, ""max_distance"": null, ""facing_tol_half"": 0.0}}",,,,,,
q35-hypothesis-vllm-0306,hypothesis,0306,195,4,"6,38,23,194",0.206,26.2,10.4,10.4,7,0,84,23,1,16,0,1,0,70,0,101,16,0,0,1,70,0,69,13,195,1945,"{""find_granite"": {""type"": ""position_near_with_facing"", ""done_frame"": 6, ""min_dist"": 1.46, ""min_dist_step"": 18, ""facing_diff_at_min"": 96.4, ""steps_within_dist"": 27, ""first_within_dist"": 6, ""steps_within_dist_but_facing_bad"": 23, ""max_distance"": 3, ""facing_tol_half"": 30.0}, ""find_bricks"": {""type"": ""position_near_with_facing"", ""done_frame"": 38, ""min_dist"": 0.22, ""min_dist_step"": 64, ""facing_diff_at_min"": 72.3, ""steps_within_dist"": 180, ""first_within_dist"": 16, ""steps_within_dist_but_facing_bad"": 138, ""max_distance"": 5, ""facing_tol_half"": 30.0}, ""find_magenta_wall_banner"": {""type"": ""position_near_with_facing"", ""done_frame"": 23, ""min_dist"": 1.77, ""min_dist_step"": 59, ""facing_diff_at_min"": 115.8, ""steps_within_dist"": 88, ""first_within_dist"": 23, ""steps_within_dist_but_facing_bad"": 71, ""max_distance"": 4, ""facing_tol_half"": 30.0}, ""find_orange_banner"": {""type"": ""position_near_with_facing"", ""done_frame"": 194, ""min_dist"": 4.78, ""min_dist_step"": 195, ""facing_diff_at_min"": 29.8, ""steps_within_dist"": 8, ""first_within_dist"": 100, ""steps_within_dist_but_facing_bad"": 6, ""max_distance"": 5, ""facing_tol_half"": 30.0}}",,,,,,
q35-hypothesis-vllm-0311,hypothesis,0311,300,1,"34,-1,-1,-1",0.03,69.6,37.9,37.9,12,0,168,24,20,5,81,0,2,0,0,268,73,81,71,0,0,4,0,,300,1480,"{""find_river"": {""type"": ""position_near_with_facing"", ""done_frame"": 34, ""min_dist"": 3.27, ""min_dist_step"": 50, ""facing_diff_at_min"": 81.9, ""steps_within_dist"": 40, ""first_within_dist"": 34, ""steps_within_dist_but_facing_bad"": 36, ""max_distance"": 5, ""facing_tol_half"": 30.0}, ""find_plains"": {""type"": ""position_inside_box"", ""done_frame"": null, ""min_dist"": 7.9, ""min_dist_step"": 51, ""facing_diff_at_min"": null, ""steps_within_dist"": 0, ""first_within_dist"": null, ""steps_within_dist_but_facing_bad"": 0, ""max_distance"": null, ""facing_tol_half"": 0.0}, ""hunt_rabbit"": {""type"": ""count_in_box_at_most"", ""done_frame"": null}, ""hunt_donkey"": {""type"": ""count_in_box_at_most"", ""done_frame"": null}}",,,,,,
q35-hypothesis-vllm-0482,hypothesis,0482,300,1,"246,-1,-1,-1",0.181,48.5,14.1,9.2,12,1,132,43,37,12,73,0,0,0,3,153,23,73,14,0,0,0,0,,300,2705,"{""find_stone_brick_slab"": {""type"": ""position_near_with_facing"", ""done_frame"": 246, ""min_dist"": 4.36, ""min_dist_step"": 300, ""facing_diff_at_min"": 41.8, ""steps_within_dist"": 55, ""first_within_dist"": 246, ""steps_within_dist_but_facing_bad"": 11, ""max_distance"": 8, ""facing_tol_half"": 30.0}, ""mine_mossy_cobblestone"": {""type"": ""inventory_has"", ""done_frame"": null}, ""mine_pink_concrete"": {""type"": ""inventory_has"", ""done_frame"": null}, ""build_hidden_room"": {""type"": ""count_in_box_at_least"", ""done_frame"": null}}",,,,,,
q35-hypothesis-vllm-0603,hypothesis,0603,300,1,"-1,-1,51,-1",0.742,11.7,8.4,8.4,8,0,61,22,4,2,8,0,0,202,0,66,2,8,6,0,202,0,202,98,299,2170,"{""find_purple_bed"": {""type"": ""position_near_with_facing"", ""done_frame"": null, ""min_dist"": 5.5, ""min_dist_step"": 49, ""facing_diff_at_min"": 5.8, ""steps_within_dist"": 0, ""first_within_dist"": null, ""steps_within_dist_but_facing_bad"": 0, ""max_distance"": 5, ""facing_tol_half"": 15.0}, ""mine_white_carpet"": {""type"": ""inventory_has"", ""done_frame"": null}, ""find_red_nether_brick_stairs"": {""type"": ""position_near_with_facing"", ""done_frame"": 51, ""min_dist"": 2.85, ""min_dist_step"": 79, ""facing_diff_at_min"": 90.7, ""steps_within_dist"": 250, ""first_within_dist"": 51, ""steps_within_dist_but_facing_bad"": 239, ""max_distance"": 5, ""facing_tol_half"": 22.5}, ""mine_quartz_block"": {""type"": ""inventory_has"", ""done_frame"": null}}",,,,,,
q35-hypothesis-vllm-0726,hypothesis,0726,300,1,"-1,158,-1,-1",0.204,45.8,25.3,23.9,12,5,184,35,31,6,0,2,6,35,1,212,7,0,0,2,35,0,35,99,300,1600,"{""find_seagrass"": {""type"": ""position_near_with_facing"", ""done_frame"": null, ""min_dist"": 4.67, ""min_dist_step"": 14, ""facing_diff_at_min"": 117.2, ""steps_within_dist"": 5, ""first_within_dist"": 12, ""steps_within_dist_but_facing_bad"": 5, ""max_distance"": 5, ""facing_tol_half"": 22.5}, ""swim_across_channel"": {""type"": ""position_inside_box"", ""done_frame"": 158, ""min_dist"": 0.0, ""min_dist_step"": 158, ""facing_diff_at_min"": null, ""steps_within_dist"": 12, ""first_within_dist"": 158, ""steps_within_dist_but_facing_bad"": 0, ""max_distance"": null, ""facing_tol_half"": 0.0}, ""find_diamond_block"": {""type"": ""position_near_with_facing"", ""done_frame"": null, ""min_dist"": 8.32, ""min_dist_step"": 177, ""facing_diff_at_min"": 86.1, ""steps_within_dist"": 0, ""first_within_dist"": null, ""steps_within_dist_but_facing_bad"": 0, ""max_distance"": 4, ""facing_tol_half"": 22.5}, ""find_soul_campfire"": {""type"": ""position_near_with_facing"", ""done_frame"": null, ""min_dist"": 6.56, ""min_dist_step"": 187, ""facing_diff_at_min"": 90.2, ""steps_within_dist"": 0, ""first_within_dist"": null, ""steps_within_dist_but_facing_bad"": 0, ""max_distance"": 5, ""facing_tol_half"": 22.5}}",,,,,,
q35-hypothesis-vllm-0763,hypothesis,0763,300,2,"1,121,-1,-1",0.294,32.3,10.2,7.1,11,0,175,83,12,1,29,0,0,0,0,178,1,29,29,0,0,1,0,,300,7675,"{""find_soul_torch"": {""type"": ""position_near_with_facing"", ""done_frame"": 1, ""min_dist"": 1.02, ""min_dist_step"": 96, ""facing_diff_at_min"": 96.9, ""steps_within_dist"": 250, ""first_within_dist"": 1, ""steps_within_dist_but_facing_bad"": 175, ""max_distance"": 5, ""facing_tol_half"": 30.0}, ""find_brown_banner"": {""type"": ""position_near_with_facing"", ""done_frame"": 121, ""min_dist"": 2.21, ""min_dist_step"": 223, ""facing_diff_at_min"": 4.0, ""steps_within_dist"": 174, ""first_within_dist"": 105, ""steps_within_dist_but_facing_bad"": 120, ""max_distance"": 5, ""facing_tol_half"": 30.0}, ""mine_purple_concrete"": {""type"": ""inventory_has"", ""done_frame"": null}, ""build_animal_pen"": {""type"": ""count_in_box_at_least"", ""done_frame"": null}}",,,,,,
q35-prolong-codex-0182,prolong,0182,300,2,"9,22,-1,-1",0.632,22.8,17.4,16.9,5,0,140,21,0,15,115,2,0,0,6,144,15,115,20,2,0,0,0,,299,390,"{""find_green_banner"": {""type"": ""position_near_with_facing"", ""done_frame"": 9, ""min_dist"": 1.14, ""min_dist_step"": 31, ""facing_diff_at_min"": 83.1, ""steps_within_dist"": 58, ""first_within_dist"": 9, ""steps_within_dist_but_facing_bad"": 42, ""max_distance"": 5, ""facing_tol_half"": 30.0}, ""find_dark_oak_button"": {""type"": ""position_near_with_facing"", ""done_frame"": 22, ""min_dist"": 1.31, ""min_dist_step"": 39, ""facing_diff_at_min"": 54.4, ""steps_within_dist"": 49, ""first_within_dist"": 22, ""steps_within_dist_but_facing_bad"": 34, ""max_distance"": 5, ""facing_tol_half"": 30.0}, ""mine_magma_block"": {""type"": ""inventory_has"", ""done_frame"": null}, ""bridge_lava_gap"": {""type"": ""position_inside_box"", ""done_frame"": null, ""min_dist"": 4.92, ""min_dist_step"": 232, ""facing_diff_at_min"": null, ""steps_within_dist"": 0, ""first_within_dist"": null, ""steps_within_dist_but_facing_bad"": 0, ""max_distance"": null, ""facing_tol_half"": 0.0}}",44,6.8,72,11,4,1
q35-prolong-codex-0306,prolong,0306,56,4,"6,14,20,55",0.0,14.6,14.5,14.5,3,0,53,2,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,,55,75,"{""find_granite"": {""type"": ""position_near_with_facing"", ""done_frame"": 6, ""min_dist"": 1.42, ""min_dist_step"": 15, ""facing_diff_at_min"": 82.7, ""steps_within_dist"": 19, ""first_within_dist"": 6, ""steps_within_dist_but_facing_bad"": 15, ""max_distance"": 3, ""facing_tol_half"": 30.0}, ""find_bricks"": {""type"": ""position_near_with_facing"", ""done_frame"": 14, ""min_dist"": 2.24, ""min_dist_step"": 30, ""facing_diff_at_min"": 92.3, ""steps_within_dist"": 34, ""first_within_dist"": 14, ""steps_within_dist_but_facing_bad"": 30, ""max_distance"": 5, ""facing_tol_half"": 30.0}, ""find_magenta_wall_banner"": {""type"": ""position_near_with_facing"", ""done_frame"": 20, ""min_dist"": 1.0, ""min_dist_step"": 33, ""facing_diff_at_min"": 0.0, ""steps_within_dist"": 29, ""first_within_dist"": 20, ""steps_within_dist_but_facing_bad"": 15, ""max_distance"": 4, ""facing_tol_half"": 30.0}, ""find_orange_banner"": {""type"": ""position_near_with_facing"", ""done_frame"": 55, ""min_dist"": 3.8, ""min_dist_step"": 56, ""facing_diff_at_min"": 21.4, ""steps_within_dist"": 9, ""first_within_dist"": 48, ""steps_within_dist_but_facing_bad"": 7, ""max_distance"": 5, ""facing_tol_half"": 30.0}}",9,6.2,9,10,1,0
q35-prolong-codex-0311,prolong,0311,300,0,"-1,-1,-1,-1",0.11,69.2,43.0,43.0,4,0,35,11,0,253,0,0,0,0,0,288,253,0,0,0,0,0,0,,299,450,"{""find_river"": {""type"": ""position_near_with_facing"", ""done_frame"": null, ""min_dist"": 10.0, ""min_dist_step"": 1, ""facing_diff_at_min"": 180.0, ""steps_within_dist"": 0, ""first_within_dist"": null, ""steps_within_dist_but_facing_bad"": 0, ""max_distance"": 5, ""facing_tol_half"": 30.0}, ""find_plains"": {""type"": ""position_inside_box"", ""done_frame"": null, ""min_dist"": 15.0, ""min_dist_step"": 1, ""facing_diff_at_min"": null, ""steps_within_dist"": 0, ""first_within_dist"": null, ""steps_within_dist_but_facing_bad"": 0, ""max_distance"": null, ""facing_tol_half"": 0.0}, ""hunt_rabbit"": {""type"": ""count_in_box_at_most"", ""done_frame"": null}, ""hunt_donkey"": {""type"": ""count_in_box_at_most"", ""done_frame"": null}}",17,17.6,28,17,0,0
q35-prolong-codex-0482,prolong,0482,300,1,"22,-1,-1,-1",0.328,51.3,12.1,6.8,6,0,198,27,0,0,68,0,0,0,6,156,0,68,30,0,0,0,0,,299,2465,"{""find_stone_brick_slab"": {""type"": ""position_near_with_facing"", ""done_frame"": 22, ""min_dist"": 2.32, ""min_dist_step"": 61, ""facing_diff_at_min"": 31.0, ""steps_within_dist"": 115, ""first_within_dist"": 22, ""steps_within_dist_but_facing_bad"": 90, ""max_distance"": 8, ""facing_tol_half"": 30.0}, ""mine_mossy_cobblestone"": {""type"": ""inventory_has"", ""done_frame"": null}, ""mine_pink_concrete"": {""type"": ""inventory_has"", ""done_frame"": null}, ""build_hidden_room"": {""type"": ""count_in_box_at_least"", ""done_frame"": null}}",92,3.3,106,92,0,1
q35-prolong-codex-0603,prolong,0603,300,2,"-1,42,-1,253",0.642,17.0,15.4,15.4,7,1,66,26,0,3,203,0,0,1,0,55,3,203,100,0,1,0,1,256,299,815,"{""find_purple_bed"": {""type"": ""position_near_with_facing"", ""done_frame"": null, ""min_dist"": 5.8, ""min_dist_step"": 37, ""facing_diff_at_min"": 58.4, ""steps_within_dist"": 0, ""first_within_dist"": null, ""steps_within_dist_but_facing_bad"": 0, ""max_distance"": 5, ""facing_tol_half"": 15.0}, ""mine_white_carpet"": {""type"": ""inventory_has"", ""done_frame"": 42}, ""find_red_nether_brick_stairs"": {""type"": ""position_near_with_facing"", ""done_frame"": null, ""min_dist"": 5.34, ""min_dist_step"": 157, ""facing_diff_at_min"": 90.0, ""steps_within_dist"": 0, ""first_within_dist"": null, ""steps_within_dist_but_facing_bad"": 0, ""max_distance"": 5, ""facing_tol_half"": 22.5}, ""mine_quartz_block"": {""type"": ""inventory_has"", ""done_frame"": 253}}",50,6.0,73,26,7,1
q35-prolong-codex-0726,prolong,0726,300,3,"-1,62,78,99",0.151,43.9,38.0,38.0,7,0,199,27,0,58,1,2,0,12,0,222,58,1,1,2,12,0,12,125,299,1125,"{""find_seagrass"": {""type"": ""position_near_with_facing"", ""done_frame"": null, ""min_dist"": 1.45, ""min_dist_step"": 74, ""facing_diff_at_min"": 93.7, ""steps_within_dist"": 107, ""first_within_dist"": 10, ""steps_within_dist_but_facing_bad"": 107, ""max_distance"": 5, ""facing_tol_half"": 22.5}, ""swim_across_channel"": {""type"": ""position_inside_box"", ""done_frame"": 62, ""min_dist"": 0.0, ""min_dist_step"": 62, ""facing_diff_at_min"": null, ""steps_within_dist"": 23, ""first_within_dist"": 62, ""steps_within_dist_but_facing_bad"": 0, ""max_distance"": null, ""facing_tol_half"": 0.0}, ""find_diamond_block"": {""type"": ""position_near_with_facing"", ""done_frame"": 78, ""min_dist"": 0.89, ""min_dist_step"": 141, ""facing_diff_at_min"": 86.4, ""steps_within_dist"": 116, ""first_within_dist"": 78, ""steps_within_dist_but_facing_bad"": 107, ""max_distance"": 4, ""facing_tol_half"": 22.5}, ""find_soul_campfire"": {""type"": ""position_near_with_facing"", ""done_frame"": 99, ""min_dist"": 0.91, ""min_dist_step"": 160, ""facing_diff_at_min"": 32.0, ""steps_within_dist"": 105, ""first_within_dist"": 99, ""steps_within_dist_but_facing_bad"": 83, ""max_distance"": 5, ""facing_tol_half"": 22.5}}",77,3.9,89,121,8,4
q35-prolong-codex-0763,prolong,0763,300,2,"1,220,-1,-1",0.896,7.7,7.8,7.8,1,0,28,0,0,0,269,0,0,0,2,25,0,269,195,0,0,0,0,,299,0,"{""find_soul_torch"": {""type"": ""position_near_with_facing"", ""done_frame"": 1, ""min_dist"": 1.0, ""min_dist_step"": 19, ""facing_diff_at_min"": 0.0, ""steps_within_dist"": 300, ""first_within_dist"": 1, ""steps_within_dist_but_facing_bad"": 281, ""max_distance"": 5, ""facing_tol_half"": 30.0}, ""find_brown_banner"": {""type"": ""position_near_with_facing"", ""done_frame"": 220, ""min_dist"": 3.86, ""min_dist_step"": 231, ""facing_diff_at_min"": 32.4, ""steps_within_dist"": 81, ""first_within_dist"": 220, ""steps_within_dist_but_facing_bad"": 76, ""max_distance"": 5, ""facing_tol_half"": 30.0}, ""mine_purple_concrete"": {""type"": ""inventory_has"", ""done_frame"": null}, ""build_animal_pen"": {""type"": ""count_in_box_at_least"", ""done_frame"": null}}",31,9.7,34,31,0,0
